name,lat,lon
KM 0,-33.4773103059999,-70.6553158
KM 0.1,-33.47732519427,-70.65638589643
KM 0.2,-33.4773746610389,-70.65745419578
KM 0.3,-33.4775387212583,-70.65850671128
KM 0.4,-33.4773074905048,-70.65954776498
KM 0.5,-33.4767484753611,-70.66045582847
KM 0.6,-33.4763219510883,-70.66143294629
KM 0.7,-33.4762047509293,-70.66249262844
KM 0.8,-33.4762288774037,-70.6635623533
KM 0.9,-33.4762581699318,-70.66463194481
KM 1,-33.4764579290411,-70.66567914538
KM 1.1,-33.4766273365767,-70.66673540206
KM 1.2,-33.4767624644048,-70.66779685409
KM 1.3,-33.4767895297035,-70.6688666674
KM 1.4,-33.4768209103046,-70.66993638357
KM 1.5,-33.4768031226238,-70.67100620244
KM 1.6,-33.4767597673402,-70.67207551143
KM 1.7,-33.476723869,-70.67314485572
KM 1.8,-33.4768023273583,-70.67421183271
KM 1.9,-33.4769089776512,-70.67527669791
KM 2,-33.4769550557858,-70.67634440572
KM 2.1,-33.4768976502258,-70.67741294088
KM 2.2,-33.4769011886355,-70.67848178085
KM 2.3,-33.4769364631001,-70.67954977478
KM 2.4,-33.4769696689803,-70.68060822913
KM 2.5,-33.4769871163239,-70.68169551296
KM 2.6,-33.4769844728741,-70.682761496
KM 2.7,-33.4769739125278,-70.68383711034
KM 2.8,-33.4769493289712,-70.68490285325
KM 2.9,-33.4769180536087,-70.68597256204
KM 3,-33.4769878270502,-70.68703482423
KM 3.1,-33.4771763744503,-70.68807980527
KM 3.2,-33.477442622901,-70.68911924821
KM 3.3,-33.4777068536217,-70.69015632819
KM 3.4,-33.4779830030205,-70.69118851818
KM 3.5,-33.4782154027877,-70.69223787097
KM 3.6,-33.4784189031931,-70.69329105658
KM 3.7,-33.4786512682731,-70.69433803348
KM 3.8,-33.4789052433222,-70.69537242015
KM 3.9,-33.4791869423417,-70.69639002087
KM 4,-33.4794983486033,-70.69743213927
KM 4.1,-33.479836125487,-70.69844212483
KM 4.2,-33.4801090789108,-70.69948108941
KM 4.3,-33.4802729544504,-70.70056008454
KM 4.4,-33.4803981705158,-70.70160403125
KM 4.5,-33.480585288082,-70.70262612501
KM 4.6,-33.4807890810506,-70.7035051816
KM 4.7,-33.4810346825764,-70.70460999849
KM 4.8,-33.4812653883467,-70.70564354501
KM 4.9,-33.4815059975914,-70.70668303144
KM 5,-33.4817366760115,-70.70767500486
KM 5.1,-33.4819648883303,-70.70874123855
KM 5.2,-33.4821906125984,-70.70980153894
KM 5.3,-33.4824361419357,-70.71084105011
KM 5.4,-33.4826816587836,-70.71186571011
KM 5.5,-33.4829023938925,-70.71289335679
KM 5.6,-33.4830958696588,-70.71392398625
KM 5.7,-33.4832447574954,-70.71501404183
KM 5.8,-33.4833688546215,-70.71606846623
KM 5.9,-33.4834607389335,-70.7171318115
KM 6,-33.4835278405564,-70.71819813711
KM 6.1,-33.4835825500498,-70.71928526034
KM 6.2,-33.4836335710673,-70.72035476896
KM 6.3,-33.4836889642375,-70.72142852816
KM 6.4,-33.4837351470233,-70.72250596891
KM 6.5,-33.4837751870407,-70.72358341063
KM 6.6,-33.4838182786884,-70.72462040283
KM 6.7,-33.4838736347399,-70.7256941664
KM 6.8,-33.4839228499847,-70.7267826425
KM 6.9,-33.4839597894801,-70.72788950862
KM 7,-33.4840065697836,-70.72891675176
KM 7.1,-33.4840459975848,-70.73000930647
KM 7.2,-33.4840982769622,-70.73112741073
KM 7.3,-33.4841434458288,-70.73214754372
KM 7.4,-33.4841917346281,-70.73322666893
KM 7.5,-33.4842444380509,-70.73429238227
KM 7.6,-33.4842837002089,-70.73535013184
KM 7.7,-33.4843342404701,-70.73644263976
KM 7.8,-33.4843812195375,-70.73752468091
KM 7.9,-33.4844319267888,-70.73858820136
KM 8,-33.4845393286667,-70.73967409024
KM 8.1,-33.484761,-70.740739
KM 8.2,-33.485094,-70.741755
KM 8.3,-33.485541,-70.742691
KM 8.4,-33.486061,-70.743568
KM 8.5,-33.4866619443827,-70.74434349028
KM 8.6,-33.4873007409459,-70.74510210932
KM 8.7,-33.4879272600579,-70.74586660672
KM 8.8,-33.4885713012499,-70.7466535718
KM 8.9,-33.4891993442058,-70.74740943967
KM 9,-33.4898447699571,-70.74818082887
KM 9.1,-33.4904391109514,-70.74888348513
KM 9.2,-33.4911032702508,-70.74968578066
KM 9.3,-33.491748851266,-70.75045595902
KM 9.4,-33.4923658501093,-70.75121621369
KM 9.5,-33.4929211222053,-70.75210361068
KM 9.6,-33.4933205704866,-70.75309844846
KM 9.7,-33.4935588288596,-70.75409805688
KM 9.8,-33.4936780661107,-70.75516264402
KM 9.9,-33.4937631217593,-70.75619659587
KM 10,-33.493855,-70.757271
KM 10.1,-33.493903,-70.758348
KM 10.2,-33.4938058110097,-70.75945886124
KM 10.3,-33.4935651208363,-70.7604896217
KM 10.4,-33.4932671421682,-70.7615258907
KM 10.5,-33.4930386189945,-70.76249880705
KM 10.6,-33.4928491060965,-70.7635719697
KM 10.7,-33.4928434795735,-70.76465878727
KM 10.8,-33.4929797437634,-70.76569211804
KM 10.9,-33.4932275205408,-70.76673468936
KM 11,-33.4934968553931,-70.76777285938
KM 11.1,-33.4937806855851,-70.7688497873
KM 11.2,-33.4940210583326,-70.7698320333
KM 11.3,-33.4942597691098,-70.77086173071
KM 11.4,-33.4944841319239,-70.77190659241
KM 11.5,-33.4947103298276,-70.77296654624
KM 11.6,-33.4949455363595,-70.77403509103
KM 11.7,-33.4951680230241,-70.7750627272
KM 11.8,-33.4953826217824,-70.77610058585
KM 11.9,-33.4956074965924,-70.77709215901
KM 12,-33.495842674227,-70.7781628831
KM 12.1,-33.4960851126473,-70.77925945899
KM 12.2,-33.4962985062323,-70.78026775179
KM 12.3,-33.4965101573751,-70.78129761949
KM 12.4,-33.4967379845227,-70.78232742383
KM 12.5,-33.4969604207654,-70.78336156864
KM 12.6,-33.4971973803285,-70.78444525898
KM 12.7,-33.4974071989997,-70.78547515768
KM 12.8,-33.4976375777902,-70.78652564363
KM 12.9,-33.4978576893302,-70.78753799694
KM 13,-33.4980889032385,-70.78857594309
KM 13.1,-33.4983072066964,-70.78962027001
KM 13.2,-33.4985403337881,-70.79065214705
KM 13.3,-33.4987765600351,-70.79173343862
KM 13.4,-33.4989997589346,-70.79275690959
KM 13.5,-33.4992470362976,-70.79377786511
KM 13.6,-33.499582370827,-70.79480822423
KM 13.7,-33.4999953540469,-70.79571773788
KM 13.8,-33.5004975257089,-70.79652785421
KM 13.9,-33.5011506210381,-70.79731295778
KM 14,-33.5018595456904,-70.79795089342
KM 14.1,-33.5026605624718,-70.7984776488
KM 14.2,-33.5035556113231,-70.79886911796
KM 14.3,-33.5044039394334,-70.79907768821
KM 14.4,-33.5053061887684,-70.79917281236
KM 14.5,-33.5061740771547,-70.79919339254
KM 14.6,-33.507076,-70.799203
KM 14.7,-33.507989,-70.799203
KM 14.8,-33.508901,-70.799208
KM 14.9,-33.509804,-70.799216
KM 15,-33.5106859512744,-70.79922533825
KM 15.1,-33.511613507528,-70.79923251785
KM 15.2,-33.5125547220735,-70.79923417537
KM 15.3,-33.5134233368461,-70.79923700535
KM 15.4,-33.5143114763378,-70.79924819199
KM 15.5,-33.5152100280373,-70.79924748956
KM 15.6,-33.5161205533704,-70.79923527261
KM 15.7,-33.5170283318832,-70.79922142203
KM 15.8,-33.5179226690481,-70.79920385871
KM 15.9,-33.5188420459312,-70.79917701685
KM 16,-33.5197286564419,-70.79915030613
KM 16.1,-33.5206152729544,-70.7991259068
KM 16.2,-33.5214845545607,-70.79910620296
KM 16.3,-33.5224076908423,-70.79908310327
KM 16.4,-33.5233097264353,-70.79905864141
KM 16.5,-33.5241982779201,-70.79903654617
KM 16.6,-33.5251003219515,-70.79901439524
KM 16.7,-33.5260486188739,-70.79898974473
KM 16.8,-33.5269588360722,-70.79898796595
KM 16.9,-33.5278427831892,-70.79905295956
KM 17,-33.5287451973569,-70.79919974773
KM 17.1,-33.5296266091118,-70.79943624916
KM 17.2,-33.5305160312374,-70.79974031771
KM 17.3,-33.5313704460683,-70.80003871742
KM 17.4,-33.5322162107978,-70.80034213089
KM 17.5,-33.5330734396801,-70.80065008367
KM 17.6,-33.533949779199,-70.80096712392
KM 17.7,-33.5348361268226,-70.80127802386
KM 17.8,-33.535636037411,-70.80156637979
KM 17.9,-33.5365110988137,-70.80188191875
KM 18,-33.5373620164789,-70.80220977234
KM 18.1,-33.538253680247,-70.8025317789
KM 18.2,-33.5391425500155,-70.80284295436
KM 18.3,-33.539990683746,-70.80313764341
KM 18.4,-33.5408779112836,-70.80345179825
KM 18.5,-33.5417270061386,-70.80375839758
KM 18.6,-33.5426262753474,-70.80410966201
KM 18.7,-33.5435002888097,-70.80455291961
KM 18.8,-33.5442737980924,-70.80503085674
KM 19.8,-33.5450472347398,-70.80559349964
KM 19,-33.5457759036791,-70.80615563332
KM 19.1,-33.5465576892616,-70.80677320084
KM 19.2,-33.5473033122074,-70.80735519458
KM 19.3,-33.548014845996,-70.80791012541
KM 19.4,-33.5487760669892,-70.80849717908
KM 19.5,-33.5495188898015,-70.80909451749
KM 19.6,-33.5502590697704,-70.80976329719
KM 19.7,-33.5509109300451,-70.81046031967
KM 19.8,-33.5515074237077,-70.81125654718
KM 19.9,-33.5520369684101,-70.81212344286
KM 20,-33.5525128195582,-70.81305177761
KM 20.1,-33.5529504411846,-70.81399557539
KM 20.2,-33.5533760851845,-70.81494337161
KM 20.3,-33.5537867116509,-70.81586688646
KM 20.4,-33.5542315070749,-70.8168514988
KM 20.5,-33.5546449131096,-70.81775971499
KM 20.6,-33.5550654929703,-70.81870362625
KM 20.7,-33.5554889403561,-70.8196628403
KM 20.8,-33.5559066490574,-70.82059827763
KM 20.9,-33.5563552381554,-70.82159050754
KM 21,-33.5567800227423,-70.82252763618
KM 21.1,-33.5572034142842,-70.82347668374
KM 21.2,-33.5576239645497,-70.82442575211
KM 21.3,-33.558024529536,-70.82532218451
KM 21.4,-33.5584054684893,-70.82630373039
KM 21.5,-33.5586987109239,-70.82735363795
KM 21.6,-33.5588970199617,-70.82841410835
KM 21.7,-33.5590349079053,-70.82946234375
KM 21.8,-33.5591729363752,-70.83054717045
KM 21.9,-33.5593618360339,-70.83158509494
KM 22,-33.5596383456741,-70.83261284209
KM 22.1,-33.560005175796,-70.83361890171
KM 22.2,-33.5604238536095,-70.83455247129
KM 22.3,-33.5608850438057,-70.83551219033
KM 22.4,-33.5613379686497,-70.83645551521
KM 22.5,-33.5617757439637,-70.83736767882
KM 22.6,-33.5622203926153,-70.83829297528
KM 22.7,-33.5626719103995,-70.83922976107
KM 22.8,-33.5631306599388,-70.84016851054
KM 22.9,-33.5635727381736,-70.84108902921
KM 23,-33.5640165261611,-70.84201160456
KM 23.1,-33.5644979950233,-70.84295048725
KM 23.2,-33.5650426624612,-70.84384397459
KM 23.4,-33.5656282883319,-70.8446942007
KM 23.4,-33.5662376403159,-70.84545193751
KM 23.5,-33.5669067520146,-70.84615607745
KM 23.6,-33.5676373653436,-70.84681893964
KM 23.7,-33.5683794548307,-70.84738807147
KM 23.8,-33.5691352786767,-70.84789746835
